name	interval	overlap_interval_end_reads	span_interval_end_pairs	within_interval	coverage_perc	coverage_mean	coverage_median
35947b6be99f28b63a219c1065d5c999	200_400	0	0	21	0.99	10.5	10.5
9f2a81ee0066d192f8c9a97602fa7089	0_200	12	2	5	0.68	5.91	4.5
9f2a81ee0066d192f8c9a97602fa7089	200_400	0	0	21	0.99	10.5	10.5
9b08fb21c0ff96cec89eb28189778147	0_200	12	2	7	0.99	6.91	6
9b08fb21c0ff96cec89eb28189778147	200_400	0	0	21	0.99	10.5	10.5
50aec348c87822f783f53b293933d3ea	0_200	12	3	6	0.985	6.41	5
50aec348c87822f783f53b293933d3ea	200_400	0	0	22	0.99	11	11
4e05e2b9a3b00e804cea5a7346bf7662	0_200	0	1	29	0.975	14.5	14.5
4e05e2b9a3b00e804cea5a7346bf7662	200_2255	0	0	83	0.9289537712895376	4.038929440389294	4
4e05e2b9a3b00e804cea5a7346bf7662	2255_2455	0	0	0	0	0	0
f62d62b6559519b0f4c4ed7b57446fe9	0_200	8	0	9	0.965	6.78	7
f62d62b6559519b0f4c4ed7b57446fe9	200_400	0	0	0	0	0	0
1cf79617cb4acc7bceee39c72e21e097	0_200	0	2	33	0.98	16.5	16.5
1cf79617cb4acc7bceee39c72e21e097	200_6233	0	4	92	0.4041107243494116	1.524946129620421	0
1cf79617cb4acc7bceee39c72e21e097	6233_6414	0	0	31	0.9392265193370166	17.12707182320442	17
99ff3c39faaa6184f648b7e8cf0c3f7d	0_200	0	0	8	0.9	4	4
99ff3c39faaa6184f648b7e8cf0c3f7d	200_381	0	0	15	0.9226519337016574	8.287292817679559	8
0d3141e67a54bdf2e683ceb2dda38b33	0_200	0	5	34	0.98	17	17
0d3141e67a54bdf2e683ceb2dda38b33	200_2255	1	4	85	0.9372262773722628	4.15669099756691	4
0d3141e67a54bdf2e683ceb2dda38b33	2255_2438	0	0	22	0.8087431693989071	12.021857923497269	12
caadc998ac2863e3bd51e8ad3d98acd2	0_200	11	2	7	0.99	6.735	6
caadc998ac2863e3bd51e8ad3d98acd2	200_383	0	0	10	0.8032786885245902	5.46448087431694	6
560325546776e417c4f1378ce7ef3e4b	0_200	0	3	32	0.975	16	16
560325546776e417c4f1378ce7ef3e4b	200_2255	1	2	85	0.9372262773722628	4.15669099756691	4
560325546776e417c4f1378ce7ef3e4b	2255_2384	0	0	16	1	12.4031007751938	16
dcf4f594e814f4bf9896b8a80be74a8d	0_200	9	2	5	0.985	5.105	5
dcf4f594e814f4bf9896b8a80be74a8d	200_329	0	0	4	0.9767441860465116	3.10077519379845	4
34e504af1a3b1771866fe84328960641	0_200	0	0	0	0	0	0
34e504af1a3b1771866fe84328960641	200_400	0	0	0	0	0	0
4db50d824a0022a3bdf6b5b0cc128eaa	0_200	0	0	0	0	0	0
4db50d824a0022a3bdf6b5b0cc128eaa	200_400	0	0	0	0	0	0
a7e478ccbdc27ee8d26e5bee0071c0be	0_200	0	0	0	0	0	0
a7e478ccbdc27ee8d26e5bee0071c0be	200_400	0	0	0	0	0	0
a2d95cb04b344129851fe7b418822685	0_200	0	0	0	0	0	0
a2d95cb04b344129851fe7b418822685	200_10925	0	0	0	0	0	0
a2d95cb04b344129851fe7b418822685	10925_11125	0	0	0	0	0	0
c02d072afafc0d9a695dc9a4973e741f	0_200	0	0	0	0	0	0
c02d072afafc0d9a695dc9a4973e741f	200_400	0	0	0	0	0	0
6d7c407d984b0900c28765b4fe8f1d9a	0_200	0	0	0	0	0	0
6d7c407d984b0900c28765b4fe8f1d9a	200_545	0	0	0	0	0	0
6d7c407d984b0900c28765b4fe8f1d9a	545_745	0	0	0	0	0	0
2d84433684aad9ba56df17c9a9ca5613	0_200	4	4	10	0.96	6.17	7
2d84433684aad9ba56df17c9a9ca5613	200_400	0	0	16	0.94	8	8
e96ce42e818478b6da85256e3478e4ee	0_200	4	0	8	0.96	5.145	6
e96ce42e818478b6da85256e3478e4ee	200_16997	0	0	74	0.25843900696552957	0.440554860987081	0
e96ce42e818478b6da85256e3478e4ee	16997_17197	0	0	11	0.91	5.5	5.5
7c239f447fec5130c5e77dae226445a6	0_200	0	1	5	0.855	2.5	2.5
7c239f447fec5130c5e77dae226445a6	200_400	0	0	1	0.5	0.5	0.5
8361972f242c7c72a7d3331f69f45a3f	0_200	0	0	0	0	0	0
8361972f242c7c72a7d3331f69f45a3f	200_400	0	0	0	0	0	0
6cf2eaadbc60f951097a61653ade0e8c	0_200	0	0	0	0	0	0
6cf2eaadbc60f951097a61653ade0e8c	200_400	0	0	0	0	0	0
7e1adc3c20e1268b9aa634564fc9f706	0_200	0	0	0	0	0	0
7e1adc3c20e1268b9aa634564fc9f706	200_400	0	0	0	0	0	0
8bd1625f8bfa9ba5192c86155eea6d99	0_200	0	0	0	0	0	0
8bd1625f8bfa9ba5192c86155eea6d99	200_400	0	0	0	0	0	0
230543e715dfe98f761510e726215295	0_200	0	38	84	0.975	42	42
230543e715dfe98f761510e726215295	200_400	0	0	64	0.83	32	32
a3cd7274c8b00dcc59bedb5f16822860	0_200	2	41	130	0.995	65.375	65
a3cd7274c8b00dcc59bedb5f16822860	200_480	0	41	2	0.5035714285714286	0.7142857142857143	1
a3cd7274c8b00dcc59bedb5f16822860	480_680	0	0	137	0.995	68.5	68.5
53530917f79f07315e3b68098f638ac6	0_200	22	163	620	0.99	315.295	316
53530917f79f07315e3b68098f638ac6	200_1950	96	53	2942	0.8102857142857143	170.8662857142857	114
53530917f79f07315e3b68098f638ac6	1950_2150	0	0	249	0.99	124.5	124.5
7ad29ad7faabd4a8a242b2a78204fb3b	0_200	15	72	501	0.99	254.41	255
7ad29ad7faabd4a8a242b2a78204fb3b	200_752	0	72	2	0.36231884057971014	0.36231884057971014	0
7ad29ad7faabd4a8a242b2a78204fb3b	752_952	0	0	253	0.99	126.5	126.5
7467b3995170aef3d3f5728705429f6c	0_200	5	0	151	0.8	77.215	78
7467b3995170aef3d3f5728705429f6c	200_752	0	0	2	0.36231884057971014	0.36231884057971014	0
7467b3995170aef3d3f5728705429f6c	752_783	0	0	0	0	0	0
c944393315cc8519bfbb034e3c291349	0_200	24	176	636	0.99	323.745	324.5
c944393315cc8519bfbb034e3c291349	200_22063	0	2	6790	0.772721035539496	31.05703700315602	3
c944393315cc8519bfbb034e3c291349	22063_22263	0	0	2	0.5	1	1
b6eebc07ffad3d66ace557050f88b2b4	0_83	0	0	0	0	0	0
b6eebc07ffad3d66ace557050f88b2b4	83_283	0	0	0	0	0	0
193d84863bcc1ca187a57a0526817d9d	0_200	20	6	53	0.99	31.855	36
193d84863bcc1ca187a57a0526817d9d	200_400	0	0	26	0.95	13	12.5
bf85cd19ce521f1993f5dca4ad79a201	0_200	19	8	55	0.99	33.05	37
bf85cd19ce521f1993f5dca4ad79a201	200_400	0	0	52	0.985	26	26
2dc2bc7a766ec10764fe17d129c335c9	0_200	18	1	48	0.99	29.165	33
2dc2bc7a766ec10764fe17d129c335c9	200_400	0	0	4	0.51	2	2
ec6d6fa9619b40a07a3e6b0a2632c302	0_200	3	6	86	0.99	43.76	44
ec6d6fa9619b40a07a3e6b0a2632c302	200_1903	0	6	11	0.5167351732237229	0.6459189665296535	1
ec6d6fa9619b40a07a3e6b0a2632c302	1903_2103	0	0	34	0.97	17	16.5
73fc8655842127dbabf3e1f57ea3ef5e	0_200	3	8	88	0.99	44.76	45
73fc8655842127dbabf3e1f57ea3ef5e	200_1903	0	8	11	0.5167351732237229	0.6459189665296535	1
73fc8655842127dbabf3e1f57ea3ef5e	1903_2103	0	0	61	0.995	30.5	30.5
2eb0ed0817d5e192fbbff79c956cba87	0_200	3	1	80	0.99	40.76	41
2eb0ed0817d5e192fbbff79c956cba87	200_1903	0	1	11	0.5167351732237229	0.6459189665296535	1
2eb0ed0817d5e192fbbff79c956cba87	1903_2103	0	0	7	0.555	3.5	3.5
50d06f4f215bcd7bc9b697969726ffb9	0_200	0	12	26	0.955	13	13
50d06f4f215bcd7bc9b697969726ffb9	200_400	0	0	28	0.895	14	14
a005d9e52b3cd86bf6fe15080f329e46	0_200	0	7	9	0.74	4.5	4.5
a005d9e52b3cd86bf6fe15080f329e46	200_400	0	0	23	0.895	11.5	11.5
d48e426c5a2df91018e1d6addf2567ee	0_200	1	7	8	0.84	4.205	4.5
d48e426c5a2df91018e1d6addf2567ee	200_400	0	0	23	0.895	11.5	11.5
d35fe21eed8ead9848f6bfe17daf3bf0	0_126	0	6	6	0.9206349206349206	4.761904761904762	6
d35fe21eed8ead9848f6bfe17daf3bf0	126_326	0	0	22	0.895	11	11
24a943b0ca3043db77f2aab4bd88f7e0	0_200	0	0	0	0	0	0
24a943b0ca3043db77f2aab4bd88f7e0	200_400	0	0	0	0	0	0
2c6510e60b49fb4b0d65d0c5be370262	0_175	0	6	8	0.9257142857142856	4.571428571428571	6
2c6510e60b49fb4b0d65d0c5be370262	175_375	0	0	22	0.895	11	11
f07064705dc4551427aa89947ec48e70	0_200	2	5	22	0.985	11.56	12
f07064705dc4551427aa89947ec48e70	200_1511	0	5	45	0.9641495041952708	3.4324942791762014	3
f07064705dc4551427aa89947ec48e70	1511_1711	0	0	13	0.935	6.5	6.5
743515efdd9d7d9fab077495529ab708	0_200	47	13	48	0.985	36.29	46
743515efdd9d7d9fab077495529ab708	200_400	0	0	51	0.98	25.5	25.5
37f6e3a53f242a041e5f27522cf5a0ca	0_200	2	4	8	0.725	4.56	5
37f6e3a53f242a041e5f27522cf5a0ca	200_1511	0	4	45	0.9641495041952708	3.4324942791762014	3
37f6e3a53f242a041e5f27522cf5a0ca	1511_1711	0	0	12	0.935	6	6
6190008da1e34a5a7c2ca60c4969c4f1	0_200	38	9	22	0.77	21.085	22
6190008da1e34a5a7c2ca60c4969c4f1	200_400	0	0	47	0.98	23.5	23.5
fb9a46883119d88efca2bb2b9c8dfccc	0_200	2	4	8	0.75	4.56	5
fb9a46883119d88efca2bb2b9c8dfccc	200_1511	0	4	45	0.9641495041952708	3.4324942791762014	3
fb9a46883119d88efca2bb2b9c8dfccc	1511_1711	0	0	12	0.935	6	6
8fb8a29f85a6c06779adbd0676e811bb	0_200	41	8	22	0.865	21.685	22
8fb8a29f85a6c06779adbd0676e811bb	200_400	0	0	46	0.98	23	23
593cb3781323011aeacf2d8f1df6da09	0_126	2	4	6	0.984126984126984	5.650793650793651	6
593cb3781323011aeacf2d8f1df6da09	126_1437	0	4	45	0.9641495041952708	3.4324942791762014	3
593cb3781323011aeacf2d8f1df6da09	1437_1637	0	0	12	0.935	6	6
4e4c1c594a3daa117698a7355840bf0b	0_126	36	7	15	1	26.50793650793651	26
4e4c1c594a3daa117698a7355840bf0b	126_326	0	0	45	0.98	22.5	22.5
be1f526994f53182b45347826be52e02	0_175	2	4	8	0.96	5.211428571428572	6
be1f526994f53182b45347826be52e02	175_1486	0	4	45	0.9641495041952708	3.4324942791762014	3
be1f526994f53182b45347826be52e02	1486_1686	0	0	12	0.935	6	6
119350645c2282f1e07fd258eea28a25	0_175	38	7	19	0.96	22.14857142857143	22
119350645c2282f1e07fd258eea28a25	175_375	0	0	45	0.98	22.5	22.5
